post_id,title,category,score,num_comments,author,collected_at
47913650,"AI should elevate your thinking, not replace it",technology,451,330,koshyjohn,2026-04-27 13:36:49.608258
47917026,The Prompt API,technology,89,61,gslin,2026-04-27 13:36:50.565066
47903541,Three constraints before I build anything,technology,184,28,nervous_north,2026-04-27 13:36:51.485196
47913855,Fast16: High-precision software sabotage 5 years before Stuxnet,technology,229,51,dd23,2026-04-27 13:36:53.375998
47916909,EvanFlow – A TDD driven feedback loop for Claude Code,technology,59,25,evanklem2004,2026-04-27 13:37:10.269347
47911524,An AI agent deleted our production database. The agent's confession is below,technology,638,795,jeremyccrane,2026-04-27 13:37:13.759082
47911780,GoDaddy gave a domain to a stranger without any documentation,technology,594,231,jamesponddotco,2026-04-27 13:37:31.579594
47901819,Music of the BBC Microcomputer System,technology,18,2,eightb,2026-04-27 13:37:33.899472
47916410,Google banks on AI edge to catch up to cloud rivals Amazon and Microsoft,technology,97,81,donsupreme,2026-04-27 13:37:35.099585
47897140,Agentic AI systems violate the implicit assumptions of database design,technology,99,99,mooreds,2026-04-27 13:37:41.710773
47918239,The cost math behind routing Claude Code through Ollama (~90% cut),technology,13,5,CoherenceDaddy,2026-04-27 13:37:46.452269
47909945,QNX on the Commodore 900 – Raiders of the lost hard drive [video] (2025),technology,50,6,rbanffy,2026-04-27 13:37:50.037520
47908833,Statecharts: hierarchical state machines,technology,297,80,sph,2026-04-27 13:37:55.920946
47918009,AI can cost more than human workers now,technology,65,41,nreece,2026-04-27 13:37:58.269459
47917664,US power demand to reach record highs in 2026–2027 driven by AI and data centers,technology,12,7,latentframe,2026-04-27 13:38:02.983828
47914749,ELI: Explain Like I'm for any ArXiv Paper,technology,12,1,Falimonda,2026-04-27 13:38:05.321007
47914075,"Show HN: AgentSwarms – free hands-on playground to learn agentic AI, no setup",technology,14,1,rohan044,2026-04-27 13:38:06.509409
47916519,The reporters at this news site are AI bots. OpenAI appears to be funding it,technology,29,1,Teever,2026-04-27 13:38:07.673010
47902993,Hokusai and Tesselations,technology,140,16,srean,2026-04-27 13:38:12.377880
47912513,"Plants can sense the sound of rain, a new study finds",technology,86,15,paulpauper,2026-04-27 13:38:24.291761
47863570,"1-Bit Hokusai's ""The Great Wave"" (2023)",technology,605,91,stephen-hill,2026-04-27 13:38:27.865246
47875597,Optimizing Datalog for the GPU,technology,73,3,tosh,2026-04-27 13:38:39.906441
47907018,GnuPG – post-quantum crypto landing in mainline,technology,168,57,zdkaster,2026-04-27 13:38:41.061504
47870901,OpenAI Privacy Filter,technology,291,63,tanelpoder,2026-04-27 13:38:45.761197
47913406,"The 1944 Warsaw Uprising, in Color",worldnews,140,53,keiferski,2026-04-27 13:39:47.051140
47914072,Principia Softwarica: Fundamental Literate System Programs,worldnews,16,1,pratikdeoghare,2026-04-27 13:40:15.303620
47916555,Software engineering may no longer be a lifetime career,worldnews,8,1,milkglass,2026-04-27 13:41:38.532441
47876043,Bitwarden CLI compromised in ongoing Checkmarx supply chain campaign,worldnews,864,422,tosh,2026-04-27 13:41:51.452144
47907543,AGPLv3§74 Empowers Users to Thwart Badgeware Like OnlyOffice,worldnews,93,23,pabs3,2026-04-27 13:42:05.576061
47906085,"Show HN: DDoS detection in 0.9s, tested against a 48 Gbps attack live",worldnews,15,3,jacob_masse,2026-04-27 13:43:30.814754
47915719,A New Idea to Save the Climate? Dam the Bering Strait.,worldnews,5,4,bookofjoe,2026-04-27 13:43:45.531958
47877366,French government agency confirms breach as hacker offers to sell data,worldnews,407,147,robtherobber,2026-04-27 13:43:57.251569
47911345,We Traced U.S. Government Gold to a Drug Cartel,worldnews,9,0,georgecmu,2026-04-27 13:44:03.133405
47897477,Is Italy the new tax haven for the global rich?,worldnews,23,13,andsoitis,2026-04-27 13:44:14.890961
47916104,Former MIT president says the US is losing the innovation race to China,worldnews,10,1,Brajeshwar,2026-04-27 13:44:36.084908
47851634,The Vercel breach: OAuth attack exposes risk in platform environment variables,worldnews,369,117,queenelvis,2026-04-27 13:45:11.586294
47905837,"Agents Aren't Coworkers, Embed Them in Your Software",worldnews,48,21,gz09,2026-04-27 13:45:28.658488
47891019,Norway set to become latest country to ban social media for under 16s,worldnews,415,479,1vuio0pswjnm7,2026-04-27 13:45:52.367746
